Participant;World;TrialName;Task;Duration;Milliseconds;Errors;Baseline;APCPS;MPD;MPDC;SD;PeakDilation;Latencytopeak;Changeposition;Attempts;ChangepositionAttemps;Errorschangeposition;ErrorsAttemps;Totalerrors;Participant_A;World_A;TrialName_A;TrialNumber_A;Duration_A;Milliseconds_A;Errors_A;Baseline_A;APCPS_A;MPD_A;MPDC_A;SD_A;PeakDilation_A;Latencytopeak_A;Changeposition_A;Attempts_A;ChangepositionAttemps_A;Errorschangeposition_A;ErrorsAttemps_A;Totalerrors_A
7;4;4_4;44;00:01:03;62274;1;25,168;,1543;29,0523;3,8843;1,4332;6,6658;35;1;2;3;2;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7;4;4_6;46;00:01:35;94117;0;26,1467;,099;28,7355;2,5888;1,1392;5,0655;80;6;0;6;6;0;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9;4;4_4;44;00:00:41;40715;0;21,2519;,1356;24,1336;2,8817;1,452;5,5053;16;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9;4;4_6;46;00:01:34;93060;0;20,5014;,2034;24,6718;4,1704;1,3014;7,4057;78;2;6;8;2;6;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10;4;4_4;44;00:01:40;99961;1;18,9706;,2047;22,8535;3,8829;,9225;5,9839;60;1;4;5;2;5;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10;4;4_6;46;00:01:38;97937;1;20,2885;,1398;23,125;2,8365;,9903;4,687;73;0;9;9;1;10;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11;4;4_4;44;00:00:46;45982;0;22,412;,148;25,7294;3,3174;,9586;5,1403;18;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11;4;4_6;46;00:00:57;56982;0;22,5378;,137;25,6248;3,087;1,0424;5,3056;43;0;2;2;0;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12;4;4_4;44;00:00:59;58988;0;23,3655;,3257;30,9765;7,611;1,676;10,0274;37;1;1;2;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12;4;4_6;46;00:00:42;41988;0;25,3145;,2201;30,8861;5,5716;2,0636;8,1865;16;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14;4;4_4;44;00:05:23;322954;16;20,9345;,0947;22,9178;1,9833;,954;4,1851;166;5;3;8;21;19;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14;4;4_6;46;00:01:17;76969;0;20,3783;,1198;22,8204;2,4421;,7276;4,1977;20;2;1;3;2;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16;4;4_4;44;00:00:56;55971;0;18,6503;,0935;20,3937;1,7434;,7642;3,7187;41;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16;4;4_6;46;00:00:43;42972;0;17,963;,1075;19,8933;1,9303;,5361;3,265;29;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
19;4;4_4;44;00:01:20;79965;0;17,5586;,1406;20,0265;2,4679;1,0566;4,9241;216;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
19;4;4_6;46;00:01:28;87975;0;16,5255;,1514;19,0278;2,5023;,8442;4,606;323;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20;4;4_6;46;00:04:01;240978;5;17,3206;,1714;20,2886;2,968;1,0013;6,2579;189;1;4;5;6;9;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
